id,Jogo,Data,Adversário,Gols Pró,Gols Contra,Chances Criadas (SPFC),Posse (%),Passes Totais,Passes Certos,Chutes,Chutes a Gol,Passes Totais (Oscar),Passes Certos (Oscar),Passes Decisivos (Oscar),Gols (Oscar),Assistências (Oscar),Pontuação SofaScore (Oscar)
1,São Paulo X Guarani,23/01/2025,Guarani,1,0,4,54%,531,451,12,3,41,35,3,0,0,"7,6"
2,Botafogo X São Paulo,08/12/2024,Botafogo,1,2,1,54,600,544,5,1,,,,,,
3,Grêmio X São Paulo,01/12/2024,Grêmio,1,2,0,61,501,451,7,2,,,,,,
4,São Paulo X Atlético-MG,23/11/2024,Atlético-MG,2,2,1,54,555,483,13,4,,,,,,
5,São Paulo X Juventude,04/12/2024,Juventude,1,2,0,69,605,543,10,2,,,,,,
6,São Paulo X RB Bragantino,20/11/2024,RB Bragantino,1,1,3,43,339,274,18,5,,,,,,
7,São Paulo X Athletico-PR,09/11/2024,Athletico-PR,2,1,4,78,653,588,10,3,,,,,,
8,Bahia X São Paulo,05/11/2024,Bahia,3,0,2,48,416,361,9,4,,,,,,
9,Criciúma X São Paulo,26/10/2024,Criciúma,1,1,1,69,659,588,16,3,,,,,,
10,São Paulo X Corinthians,26/01/2025,Corinthians,3,1,2,44%,440,372,12,5,56,49,2,1,1,"8,7"
